ahkr201,Praksis i arbeidslivet
geo-sd306,Dynamic Complexity and Decision Experiments
geo-sd308,Model-based Policy Design and Analysis
geo-sd309,Modell-baserte Interaktive Læremiljø
geo-sd310,Writing Course and Project Description
geo-sd311,Analytical methods and advanced modelling
geo-sd321,Model-based Socioeconomic Planning
geo-sd322,"Special Topics in System Dynamics, Policy"
geo-sd323,"Special Topics in System Dynamics, Applications"
geo-sd324,"Special Topics in System Dynamics, Methodology"
geo-sd325,Client-based modeling project
geo-sd330,Natural Resources Management
geo-sd350,Masteroppgåve i systemdynamikk
geo-sd351,Masteroppgåve i systemdynamikk
geo-sd360,Masteroppgåve i systemdynamikk
geo100,Introduksjon til geografi: Globale utfordringer og lokale svar
geo110,Kartografi og tematiske kart
geo111,Landformdannande prosessar
geo113,"Klima, oseanografi og biogeografi"
geo124,Regional utvikling
geo125,"Økonomisk globalisering, produksjonssystem og miljø"
geo131,"Mat, miljø og berekraftig utvikling"
geo204,Kvantitativ metode
geo206,Kvalitativ analyse
geo212,Terrestriske klima- og miljøendringar
geo215,Geografiske informasjonssystem: Teori og praksis
geo217,"Hydrologi, grunnvann og geofarer"
geo222,Sustainability in an Urbanising World
geo223,Berekraftig utvikling av byar og tettstader
geo224,Planlegging og berekraftig utvikling av byar og tettstader
geo260,Praksisemne i geografi
geo281,Miljøforvaltning og planlegging
geo283,Geografiske tilnærmingar til klimatilpassing og -forebygging
geo291,Naturgeografisk feltkurs
geo292,Regionalgeografisk feltkurs
geo293,Miljøgeografisk feltkurs
geo306,Metodar i samfunnsgeografi
geo308,Vitskapsteori og forskingsdesign for geografar
geo310,Skrivekurs og prosjektskildring
geo313,Naturgeografiske laboratorie- og feltmetodar
geo316,Practical Skills in Remote Sensing and Spatial analysis
geo317,Særemne i geografi
geo324,Human Geographies of Adaptation to Climate Change
geo328,Planlegging og stadutvikling
geo330,Theories of Sustainable Land Use
geo337,Political Ecology: Critical Perspectives on Environmental Governance 
geo341,Mastergradsfeltkurs i naturgeografi
geo350,Masteroppgåve i geografi
geo620,Introduksjon til geografiske informasjonssystem (GIS) og geovisualisering
geo660,Samfunnsplanlegging og rolleforståing i komplekse plansituasjonar 
geof100,"Introduksjon til atmosfære, hav og klima"
geof105,Atmosfære- og havfysikk
geof110,"Atmosfære-, hav- og klimadynamikk"
geof210,Dataanalyse i meteorologi og oseanografi
geof211,Numerisk modellering
geof212,Fysisk klimatologi
geof232,Praktisk meteorologi og oseanografi
geof236,Kjemisk oseanografi
geof301,Introduksjon til master
geof310,Turbulens i atmosfærens og havets grenselag
geof311,Turbulens i atmosfærens grenselag
geof313,Atmosfære- og havdynamikk
geof321,Numerisk vêrvarsling og klimamodellering
geof322,Feltkurs i meteorologi
geof328,Mesoskala dynamikk
geof336,Vidaregåande kjemisk oseanografi
geof337,Fysisk oseanografi i fjordar
geof338,Polar oseanografi
geof339,Avansert dynamisk oseanografi
geof343,Vindgenererte overflatebølger
geof346,Tidevassdynamikk og havnivåvariasjonar
geof347,Seminar om jordsystemet og berekraftig utvikling
geof348,Avansert klimadynamikk
geof351,Seminar i atmosfærisk vitenskap 
geof352,Avansert atmosfæredynamikk
geof399,Masteroppgåve i meteorologi og oseanografi
geof399i,Masteroppgave i geofysikk - meteorologi og oseanografi
geov101,Innføring i geologi
geov102,Ekskursjoner og øvelser i geologi
geov103,Geokjemiske System: Jorda og livet sine byggjesteinar
geov104,Innføring i strukturgeologi og tektonikk
geov107,Innføring i sedimentologi
geov109,Geokjemiske System: Samspel mellom Geologiske og Biologiske prosessar
geov110,Innføring i eksogene prosessar og paleoklima
geov111,Geofysiske metodar
geov112,Den faste jordas fysikk
geov113,Refleksjonsseismisk datainnsamling og prosessering
geov114,Innføring i geobiologi
geov181,Introduksjon til geofag og informatikk
geov205,Geografiske informasjonssystem: Teori og praksis
geov210,Platetektonikk
geov217,Geofarar
geov218,Bergartsfysikk
geov222,Paleoklimatologi
geov225,Feltkurs i kvartærgeologi og paleoklima
geov230,Glasialgeologi og geomorfologi
geov231,Maringeologisk felt- og laboratoriekurs
geov241,Mikroskopi
geov242,Magmatisk og metamorf petrologi
geov243,Miljøgeokjemi
geov245,Geomikrobiologi
geov251,Videregåande strukturgeologi
geov252,Feltkurs i geologisk kartlegging
geov254,Geodynamikk og bassengmodellering
geov261,Bassenganalyse og tolking av undergrunnsdata 
geov265,Global og anvendt geofysikk
geov272,Seismisk tolkning
geov274,Miljø og reservoargeofysikk
geov276,Introduksjon til teoretisk seismologi
geov277,Signalanalyse og inversjon i geovitskap
geov281,Feltgeomatikk
geov298,Geopraksis
geov300,Akademisk skriving og kommunikasjon i geovitskap
geov302,Dataanalyse i geovitskap
geov316,Praktiske ferdigheiter i fjernmåling og romleg analyse
geov322,Masterekskursjon i kvartærgeologi
geov324,Paleoklima i polare strok
geov325a,Glasiologi
geov329,Kvartær geokronologi
geov331,Utvalgte emner i paleoseanografi
geov336,Lab- og metodekurs i kvartærgeologi
geov341,Termokronologi og tektonikk
geov342,Den geokjemiske verktøykassen
geov344,Geobiologi og livets utvikling på jorden
geov350,Geodynamikk og platetektonikk
geov352,Reservoargeologisk feltkurs
geov355,Anvendt seismologi
geov360,Vidaregåande klastisk sedimentologi
geov361,"Sekvensstratigrafi og ""Source-to-sink"""
geov362,Integrert feltkurs i tektonikk og sedimentologi
geov364,Videregåande bassenganalyse
geov375,Avansert anvendt seismisk analyse
geov399,Masteroppgåve i geovitskap
geov399k,Masteroppgåve i geovitskap
geov601,Innføring i geofag og berekraft: Jordas struktur og indre prosessar
geov602,"Innføring i Geofag og berekraft: Overflateprosessar, hav og klima"
geov603,Innføring i Geofag og berekraft: Geofag i praksis
geovphd924,Paleoklima i polare strok
geovphd964,Videregåande bassenganalyse
ghig918a,Qualitative Methods for PhD: Advanced level
ghig937,Kvantitative metodar
ghig944,"Fremja samfunnsvitskapane: Ta tak i utfordringar og forbetre forskingsintegriteten

Fremja samfunnsvitskapane: Ta tak "
ghig945,Kritiske perspektiver på teori og metodologi i psykologi
ghig990,ReproducibiliTea journal club
globalhealth,Global Health
globaltheory,Global Theory
glode300,Critical approaches to Development
glode308,Gender Analysis in Global Development - Core perspectives and Issues
glode309,Foundations of Health Promotion
glode310,Internship
glode311,Development Practice
glode330,Master's Thesis
goh301,Global oral helse
gov100,Innføring i politikk og forvaltning
gov101,Organisasjonsteori
gov103,Norsk politikk
gov104,Politisk teori og styreformer
gov106,Rett og politikk
gov107,EU og internasjonale organisasjonar
gov108,Climate Policy
gov112,Organisasjonsteori
gov113,Norsk politikk
gov114,Politisk teori og styreformer
gov115,EU og internasjonale organisasjonar
gov116,Rett og politikk
gov212,"Klima, kriser og samfunnstryggleik. Handtering av uregjerlege samfunnsutfordringar"
gov213,Helse- og velferdspolitikk - Makt og innverknad
gov214,"Kunnskapens institusjonar, ekspertise og politikk"
gov215,Organisasjons- og institusjonsanalyse for offentleg sektor
gov216,"Constitutions, Courts and Politics"
gov217,Gender and Power in Contemporary Politics
gov251,Bacheloroppgåve i administrasjon og organisasjonsvitskap
gov320,Organisasjonsteori
gov321,Kvantitativ metode
gov322,Politikk og forvaltning
gov323,Kvalitativ metode
gov325,Styring og beslutningsfatting
gov326,Politisk organisering og flernivåstyring
gov327,"Kunnskap, politikk og styring"
gov328,Leadership in Organizational and Cultural Contexts
gov332,Forskingsdesign 
gov332-2,Forskingsdesign
gov350,Masteroppgåve i politikk og forvaltning
gov351,Understanding Global Challenges: Theoretical Foundations
gov352,Researching Global Challenges
gov353,Qualitative Methods
gov355,Conceptualizing Global Challenges: Theoretical Advances
gov360-1,Global: Globally Organized Crime and Network Analysis
gov360-2,Global: Politics and Governance of Migration
gov360-3,Global: Gendered Autocratization as a global challenge
gov360-4,Global: China in Global Politics
gov360-5,AI for good? The Global Governance and Politics of Technology
gov360-6,Global: Politics and Child Protection
gov360-7,Climate politics: The challenge of Autocratization and the climate emergency 
gov371,Internship
gov372,Self-organized course
gov380,Master's Thesis in Politics and Governance of Global Challenges
gov602,"Organisering, læring og endring"
gov606,Teknologileiing
gov607,"Forvaltningspolitikk - Medverknad, styring og autonomi"
gov616,Teknologileiing 2: Mellomleiing i turbulente omgivnadar
gov650,Masteroppgave
gov660,Styring gjennom tillit og samordning
gov661,Reformanalyse og reformarbeid
gov662,Organisasjonsanalyse og metode
gov901,Effects of Lawfare: Courts and law as battlegrounds for social change
gov902,Accounting for Time: Public Bureaucracies in a Changing Environment
gov904,Climate Politics and Autocratization
gov905,SCANCOR PhD Course in Institutional Analysis
gre100,Innføring i gresk
gre102,Gresk prosa og grammatikk
gre103,Gresk: Attisk prosa
gre104,Gresk: Epikk og lyrikk
gre105,Gresk: Jonisk og etterklassisk prosa
gre202,Gresk: Attisk drama
gre203,Gresk: Stilskriving og attiske talarar
gre254,Gresk: Fordypningsstudium med bacheloroppgåve
gre301,Gresk tekstpensum I
gre303,Gresk valemne
gre307,Gresk: Særpensum (masternivå)
gre308,Gresk: Teori og metode med prosjektførebuing
gre350,Gresk mastergradsoppgåve
grieg905,Interdisciplinary Music Studies
grieg906,Interdisciplinary Music Studies
grieg907,Interdisciplinary Music Studies
grieg908,Interdisciplinary Music Studies
grieg909,"Interdisciplinary Music Studies: Exploring Artistic, Pedagogic, and Therapeutic Practices - Interdisciplinary Knowledges"
grieg910,"Interdisciplinary Music Studies: Societal challenges and the Arts - Critique, Impacts and Sustainability"
grieg913,The Study of Musical Experiences
grieg914,The Study of Musical Practices
grieg915,The Study of Musical Materials
grieg916,Specialization in Music Studies
grieg921,Specialization in Music Studies
grieg922,Specialization in Music Studies
grieg923,The Study of Music: Disciplinary Specialisation
grieg924,The Study of Music: Disciplinary Specialisation
grieg925,The Study of Music: Disciplinary Specialisation
grieg926,The Study of Music: Disciplinary Specialisation
grieg927,The Study of Music: Disciplinary Specialisation
grieg928,The Study of Music: Disciplinary Specialisation
grieg929,The Study of Music: Disciplinary Specialisation
grieg930,The Study of Music: Disciplinary Specialisation
grieg931,Creativity and Innovation: What Every Researcher Needs to Know
havb399,Masteroppgåve i havbruk (sivilingeniør)
hefr331,Helsefremjande arbeid: Innføring i sentrale omgrep og teoriar
hefr342,Resource approaches to health and wellbeing
hefr343,"Planlegging, implementering og evaluering i helsefremjande arbeid"
hefr395,Masteroppgåve i helsefremjande arbeid og helsepsykologi
hekval620,Kvalitetsforbedring i helsetjenesten
heled620,Helseleiing
helfyt661,Radiologi for manuellterapeutar (etter- og videreutdanning)
helfyt662,Differensialdiagnostikk og laboratorieprøver for manuellterapeutar (etter- og videreutdanning)
helok610,Helseøkonomi
helsam301,Introduksjon til helse og samfunn
helsam302,Forskningsetikk og vitenskapsteori
helsam303,Forskningsmetode
helsam304,Kvalitative forskningsmetodar og -tradisjonar
helsam305,Kvantitative forskningsmetodar og -tradisjonar
helsam320,Den akademiske prosessen: frå idé til presentasjon
helsam395,Masteroppgåve i helse og samfunn
helvid650,"Masteroppgåve i helseleiing, kvalitetsforbetring og helseøkonomi (EVU)"
helvit300,Helsefagleg relevant vitskapsteori og forskingsetikk
hem303,Kvalitative metodar og forskingsplanlegging
hem304,"Kvantitative metodar, forskingsplanlegging og anvendt statistisk analyse"
hermod620,"Hermod: Kommunikasjon av forsking, kultur og forvaltning"
hidi100-p,"Historiedidaktikk 1, lektorutdanning fag 1"
hidid111,Historiedidaktikk for vidaregåande skole
hidid112,Historiedidaktikk for grunnskolen
hidid313,Historiedidaktikk for master i historie (lektorutdanning)
hik111,SEX: Seksualitetens moderne kulturhistorie
hik117,Kulturhistorisk fordjuping 
him101,Oversyn over Midtaustens historie
him103,Islam og politikk
him104,"Islam i Afrika sør for Sahara, c. 1500-2000"
him105,Fordjuping i Midtaustens historie
him250,Bacheloroppgåve i Midtaustens historie
his100,Innføring i historie
his101,Oversyn over eldre historie til 1750
his102,Oversyn over nyare historie frå 1750
his108,Oversikt over kvinne- og kjønnshistorie
his111,Oversikt over USAs historie
his113,Fordjuping i eldre historie
his114,Fordjuping i eldre historie
his115,Fordjuping i nyare historie
his116,Fordjuping i nyare historie
his120,Fordjupingsoppgåve i historie
his130,Politikk og samfunn i antikken
his131,Det antikke Hellas' historie
his203,"Teoriar, metodar og historiske kjelder"
his250,Bacheloroppgåve i historie
his250l,Bacheloroppgåve i historie
his301,Historisk forskingslitteratur
his301l,Historisk forskingslitteratur (lektorprogrammet)
his302,Historiografi
his302l,Historiografi for lektorstudentar
his303,Historie: Forskingsproblem og kjeldearbeid
his303l,Historie: forskingsproblem og kjeldearbeid for lektorstudentar
his304,Teknikkar i historiefaget
his307,Fordjupning i historie
his308,Historieformidling
his309,Historikarens arbeidsmåtar
his350,Historie mastergradsoppgåve 
hol900,Holberg Prize PhD Masterclass 2025: The Practice of Learning
hosp-biovit,Forskningspraksis i biologi for eksterne studentar
hosp-geov,Forskningsprosjekt i geovitskap
hosp-ibm,Labhospitering - Institutt for biomedisin
hosp-iko,Clinical rotation
hrdid600,Undervisning i kontroversielle tema 
htek101,Introduksjon til havmiljø
htek102,Praksisutplassering i havteknologi
htek201,Måleteknologi
htek202,Laboratoriekurs i måleteknologi og instrumentering
htek301,Utvalde emne innan havteknologi
htek399,Masteroppgåve i havteknologi
htekphd901,Utvalde emne innan havteknologi
huimm303b,Human Immunobiology 
huimm306a,Molecular and Cellular Methods in Immunology
huimm307,Basic Course in Flow Cytometry
huimm320,Basal immunologi
huimm901,Project Seminars in Immunology
huimm902,Journal Club & Watch
huimm903b,Human Immunobiology 
huimm905,From Innate to Specific Immunity
huimm906a,Molecular and Cellular Methods in Immunology
humgen301,Human Molecular Genetics
humgen302,Genteknologilova
hupat301,Basal humanpatologi
igsin911,Functional Neuroimaging
igsin912-a,Experimental Design and Effect-Size Analysis - Attendance
igsin912-b,Experimental Design and Effect-Size Analysis - Multiple Choice
igsin913,Interdisciplinary Neuroscience
igsin913a,Ph.d.-kurs i integrert nevrovitskap
igsin918,Kurs i programvare R
inf100,Innføring i programmering
inf101,Vidaregåande programmering
inf102,"Algoritmar, datastrukturar og programmering"
inf112,Innføring i systemutvikling
inf113,Innføring i operativsystem
inf115,Databasar og modellering
inf122,Funksjonell programmering
inf140,Introduksjon til datatryggleik
inf142,Datanett
inf143a,Anvendt kryptografi
inf161,Innføring i data science
inf170,Modellering og optimering
inf207,Sosial nettverksteori
inf210,Datamaskinteori
inf214,Multiprogrammering
inf218,Sjølvvalgt informatikkprosjekt I
inf219,Informatikkprosjekt I
inf220,Programvarespesifikasjon
inf221,Avansert funksjonell programmering
inf222,Programmeringsspråk
inf223,Kategoriteori
inf225,Innføring i programomsetjing
inf226,Programvaresikkerhet
inf227,Innføring i logikk
inf234,Algoritmer
inf235,Kompleksitetsteori
inf236,Parallell programmering
inf237,Algoritmeutvikling
inf240a,Grunnleggjande reiskap for kodeteori og kryptografi
inf241,"Kvanteinformasjon, kvanteberekning og kvantekryptografi"
inf242,Informasjonsteori
inf243,Algebraisk kodeteori
inf244,Grafbasert kodeteori
inf245,Berekningsorientert talteori og asymmetrisk kryptografi
inf247,Innføring i kryptoanalyse av symmetriske chiffer
inf249,Avansert cybersikkerheit
inf250,Dataorientert visuell berekning
inf251,Grafisk databehandling
inf252,Visualisering
inf253,Visuell Data Science
inf264,Innføring i maskinlæring
inf265,Djup læring
inf266,Forsterkingslæring
inf270,Lineær programmering
inf271,Kombinatorisk optimering
inf272,Ikkje-lineær optimering
inf273,Metaheuristikkar
inf289,Utvalde emne i energiinformatikk
inf311,Utvalgte emner i fagformidling av informatikk
inf312,Utvalgte emner i fagformidling av informatikk
inf319,Informatikkprosjekt II
inf319a,Informatikkprosjekt II
inf328,Programmeringsspråkelementer
inf329,Utvalde emne i programutviklingsteknologi
inf329a,Utvalde emne i programutviklingsteknologi
inf334,Videregåande algoritmeteknikkar
inf339,Utvalde emne i algoritmer og kompleksitet
inf339a,Utvalde emne i algoritmer og kompleksitet
inf347,Videregåande emner/seminar i kryptografi
inf347a,Videregåande emner/seminar i kryptografi
inf348,Videregåande emne/seminar i datatryggleik
inf349,Videregåande emne/seminar i informasjons- og kodeteori
inf358,Seminar i visualisering
inf367,Utvalde emne i kunstig intelligens
inf367a,Utvalde emne i kunstig intelligens II
inf368,Utvalde emne i maskinlæring
inf368a,Utvalde emne i maskinlæring
inf379,Utvalde emne i optimering
inf399,Masteroppgåve i informatikk
inf399k,Masteroppgåve i informatikk
inf620,Innføring i programmering modul 1
inf621,Innføring i programmering modul 2
inf624,Innføring i datasikkerheit
inf626,Innføring i kunstig intelligens
inf630,Kurs i grunnleggjande programmering
inf640,Angrep mot web-applikasjoner og tilhøyrande forsvarsmetodar
inf641,Sikre protokollar for nettverk og kommunikasjon
infdid210,Informatikkdidaktikk
info100,Innføring i informasjonsvitskap
info104,Formelle metodar for informasjonsvitskap
info110,Informasjonssystem
info125,Datahandtering
info132,Innføring i programmering
info135,Vidarekommande programmering
info162,Innføring i HCI
info180,Metodar i kunstig intelligens
info207,Sosial nettverksteori
info212,Systemutvikling
info215,Web Science
info216,Knowledge Graphs
info263,Brukarinvolvering og prototyping
info282,Knowledge Representation and Reasoning 
info284,Machine Learning
info301,Grunnleggjande forskingsmetodar
info302,Grunnleggjande om forskingsgruppar
info310,Research Topics in Model-Based Information Systems
info318,Research Topics in Cognitive Computing 
info319,Research Topics in Big Data 
info319a,Research Topics in Big Data
info320,Research Topics in Semantic Information Systems
info323,Data Architectures for Information Retrieval and Web Intelligence
info331,Research Topics in Software Engineering 
info333,Research Topics in Information Systems Development
info345,Research Topics in Recommender Systems
info345a,Research Topics in Recommender Systems
info352,Research Topics in Technology Enhanced Learning
info361,Forskingstema i menneske-maskin interaksjon (HCI)
info362,Forskingstema i IKT-støtta samarbeid (CSCW)
info371,Research Topics in Networks and Text Analysis
info381,Research Topics in Artificial Intelligence
info382,Logic for Multi-agent Systems
info382a,Logic for Multi-agent Systems
info383,Forskingstema i kunstig intelligens og etikk
info384,Blokkjede-teknologi og formelle metoder
info384b,Blokkjede-teknologi
info385,Modallogikk
info385a,Modallogikk
info390,Masteroppgåve i informasjonsvitskap
info900,Introduction to Learning Analytics
infomevi224,Teknologi i samfunnet
infphd940a,Grunnleggjande reiskap for kodeteori og kryptografi
infphd945,Sikre informasjonssystem
infphd947,Videregåande emner/seminar i kryptografi
infphd967,Utvalde emne i kunstig intelligens
infphd967a,Utvalde emne i kunstig intelligens II
infphd973,Metaheuristikkar
innov201,Innovasjon ved designtenkning
inth302,Epidemiology
inth310a,Introduction to Occupational Health
inth310b,"Arbeid og helse globalt, ei innføring"
inth314,Applied economic evaluation in health care
inth315,Methods in Global Health Research
inth317,Internship - master study in Global Health
inth321a,Experimental Epidemiology
inth323e,Qualitative Research Methods for Global Public Health
inth323o,Kvalitative metodar for global helse - Online
inth325a,Culture and Psychopathology
inth326a,Research Seminars at CIH Including two Presentations
inth328b,Global tuberculosis - Epidemiology and intervention
inth330b,Proposal development
inth331a,Chemical factors in the work environment
inth334b,Physical factors in the work environment
inth344,Migrasjon og helse
inth345,Introduksjon til antropologi i global helse
inth356,Observational Epidemiology
inth360,Global Nutrition
inth360a,Global Nutrition
inth395a,M.Phil. in Global Health - Thesis
inth395b,Master Thesis in Global Health 
inth660,Occupational Health in Developing Countries
inth914,Applied Economic Evaluation in Health Care
inth921,Experimental Epidemiology 
inth923,Qualitative Research Methods for Global Public Health with essay
inth928,Global Tuberculosis Epidemiology and Intervention
inth931,Assessment of Occupational Exposure to Chemicals
inth944,Migrasjon og helse
inth945,Introduksjon til antropologi i global helse
inth950,Likhet og rettferdighet i helse - en anvendt tilnærming til etikk
inth956,"Observational Epidemiology: Survey, Cohort and Case-Control Studies"
iped920a,Teori og praksis
iped920b,Paper. Teori og praksis
isl103,Islandsk grammatikk og fonetikk
isl104,Islandsk språk og samfunn
ital100,Innføring i italienskstudium
ital121,Italiensk språk 1
ital122,Italiensk litteratur
ital123,Munnleg italiensk med fonetikk
ital124,Italiensk språk 2
ital125,Moderne italiensk kortprosa
ital133,Media og italiensk samtidskultur
ital203,Italiensk språk og lingvistikk
ital205,Fordjuping i eldre italiensk litteratur
ital250,Eldre italiensk litteratur
ital253,Italiensk språk og lingvistikk med bacheloroppgåve
ital255,Fordjuping i eldre italiensk litteratur med bacheloroppgåve
ital301,Italiensk språkhistorie og språklig variasjon
ital302,Italiensk tekststudium og litteraturteori
ital304,Italiensk teoriemne
ital306,Italiensk særemne
ital350,Italiensk mastergradsoppgåve
ital620,Innføring i italienskstudium (nett)
ital621,Italiensk språk 1 (nettbasert)
ital623,Media og italiensk samtidskultur (nettbasert)
ital624,Italiensk språk 2 (nettbasert)
itok101,Mikroøkonomi
itok102,Makroøkonomi
itok170,Energi- og miljøfysikk
itok204,Økonometri og dataanalyse
itok264,Financial Technology
itok281,Utplassering i informasjonsteknologi og økonomi
itok320,Metodar for analyse av forsyningskjeder
itok381,Ekspertar i team
itok391,Masteroppgåve
jas100,"Japansk historie, samfunn og språk"
jas101,Japansk språk og grammatikk 1
jas102,Japansk språk - lesing og skriving
jas103,Japanstudiar - forskingstema 
jas104,Japansk språk og grammatikk 2
jas105,Japansk språk ¿ lesing og skriving 2
jas106,Japanstudiar - forskingstema 2
jas201,Japansk språk og omsetjing
jas250,Bacheloroppgåve i japansk
jas301,Anvend lingvistikk og japansk
jas302,Moderne japansk historie og historiografi
jas303,Japansk semantikk og omsetjing
jas304,Metodar i avanserte Japan-studier
jas350,Masteroppgåve i japansk
jou100,Introduksjon til journalistikk og akademisk skriving
jou102,Journalistikken sine metodar og verktøy
jou103,"Podkast, dokumentar og historieforteljing"
jou202,Journalistikkens praksis
jou204,Datajournalistikk
jou205,Journalistiske former
jou250,Bacheloroppgåve
jou251,Bacheloroppgåve i journalistikk
jur601,Innføring i jus for næringslivet
jur604,Arbeidslivets rett
jur605,Innføring i forvaltningsrett for sakshandsamarar i kommunal sektor
jur606,Forebygging og avdekking av korrupsjon i næringslivet og offentlig sektor
jur607,"God forvaltningsskikk: Rettstryggleik, kommunikasjon og konfliktforståing i forvaltninga"
jur661,Advanced course in Law of Armed Conflict
jus100,Exfac - Innføring i juridisk metode
jus110,Rettsfilosofi og argumentasjonsteori
jus211,Familie- og arverett
jus212,Avtalerett
jus213,Erstatningsrett
jus213-1,Erstatningsrett
jus214,Tings- og immaterialrett
jus215,Juridisk metode
jus221,"Rettsstaten: statsrett, europarett og folkerett"
jus222,Forvaltningsrett
jus2300,EU and EEA Institutional Law and Policymaking - Bachelor
jus2301,Free Movement under EU and EEA Internal Market Law - Bachelor
jus2302,EU and EEA State Aid Law - Bachelor
jus2303,Privacy and Data protection - GDPR - Bachelor
jus2304,Comparative Private Law - Bachelor
jus2305,"Law, Regulation, and Technology - Bachelor"
jus2306,Fair Trials in Europe - Bachelor
jus2307,Introduction to European Human Rights - Bachelor
jus2308,"Constitutions, Courts and Politics - Bachelor"
jus2309,Competition Law - Bachelor
jus231,Obligasjonsrett
jus2310,"Energy Law: Hydrocarbons, Renewables and Energy Markets - Bachelor"
jus2311,International Climate Law - Bachelor
jus2312,Legal Philosophy - Bachelor
jus2313,Human rights and Welfare Policies - Bachelor
jus2314,EU Copyright Law - Bachelor
jus2315,EU and EEA Public Procurement Law - Bachelor
jus2316,Law of the Sea and its Uses - Bachelor
jus2317,Comparative European Constitutional Law - Bachelor
jus2318,Fundamentals of the Law of Armed Conflict
jus2319,International Civil Procedure - Bachelor
jus232,Rettshistorie og komparativ rett
jus2320,Comparing Legal Cultures in Europe - Bachelor
jus2321,Introduction to Chinese Civil and Commercial Law
jus2322,Health and Human Rights - Bachelor
jus233,Komparativ rett
jus2397,Barnerett
jus2398,Miljørett
jus2399,Skatterett
jus241,Strafferett
jus242,Rettargang
jus243,Allmenn formuerett
jus250-2-d,Velferdsrett
jus251-2-a,Grunnleggende arbeidsrett
jus251-2-b,Arbeidsrett fordypning
jus253-2-a,Kommunalrett 
jus254-2-a,Politirett
jus255-2-a,Påtalerett
jus256-2-a,Skatterett I
jus256-2-b,Skatterett II
jus257-2-a,Grunnleggande selskapsrett
jus257-2-b,Aksjeselskapsrett - fordjuping
jus260-2-a,Design- og patentrett
jus260-2-b,Opphavsrett
jus260-2-c,Kjenneteiknsrett
jus260-2-d,Marknadsføringsrett
jus261-2-a,Konfliktmekling 
jus265-2-a,Planrett
jus266-2-a,Domsanalyse og domsskriving
jus297-2-a,Comparative European Constitutional Law
jus325,Rettshjelp - valemne
jus329,Skriveveiledning og gruppeledelse
jus330-a,EEA Moot Court
jus330-c,NPK - Nasjonal deltakelse
jus330-h,Førehandsgodkjend prosedyrekonkurranse
jus334,Chinese Law Clinical Programme
jus345,Strafferett
jus346,Rettargang
jus347,Allmenn formuerett
jus3500,EU and EEA Institutional Law and Policymaking - Master
jus3501,Free Movement under EU and EEA Internal Market Law - Master
jus3502,EU and EEA State Aid Law - Master
jus3503,Privacy and Data protection - GDPR - Master
jus3504,Comparative Private Law - Master
jus3505,"Law, Regulation, and Technology - Master"
jus3509,Competition Law - Master
jus3510,"Energy Law: Hydrocarbons, Renewables and Energy Markets - Master"
jus3511,International Climate Law - Master
jus3512,Legal Philosophy - Master 
jus3513,Human rights and Welfare Policies - Master
jus3514,EU Copyright Law - Master
jus3515,EU and EEA Public Procurement Law - Master
jus3516,Law of the Sea and its Uses - Master
jus3517,Comparative European Constitutional Law - Master
jus3518,Advanced course in Law of Armed Conflict - Master
jus3519,International Civil Procedure - Master
jus3522,Health and Human Rights - Master 
jus3523,International Criminal Law - Master
jus3550,Arbeidsrett
jus3551,Immaterialrett
jus3552,Tvisteløysing i kommersielle forhold
jus3553,Konfliktmekling
jus3554,Planrett og kystsoneforvalting
jus3555,Politi- og påtalerett
jus3556,Selskapsrett og bedriftsbeskatning
jus3557,Velferdsrett
jus390,Masteroppgåve
jus391,Juridiske utgreiingar
jus392,Masteroppgåve
jus396,Masteroppgåve (60 sp)
jus397,Masteroppgåve (70 sp) forskarline
jus399,Masteroppgåve
kddi201,Kunst- og designdidaktikk 1
kddi202,Kunst- og designdidaktikk 2
kdpra210,"Praksis for Praktisk-pedagogisk utdanning, kunst og design (heiltid)"
kdpra211,"Praksis for Praktisk-pedagogisk utdanning, kunst og design (deltid)"
kin100,"Kultur, historie og samfunn i Kina"
kin101,Kinesisk språk 1
kin102,Kinesisk språk 2
kin103,Kinesisk språk 3
kin104,Kinesisk språk 4
kin201,Kinesisk språk 5
kin205,Interkulturell kompetanse
kin301,Utvalt emne i kinesisk anvendt lingvistikk
kin302,Forskingsmetode i kinesiske studium
kin303,Utvalt emne i kinesisk sosiolingvistikk
kin304,"Emne i kinesisk litteratur, filosofi, media og kunst"
kin305,Interkulturell kompetanse
kin306,Sjølvvalt emne
kin350,Kinesisk mastergradsoppgåve
kjem109,Kjemi grunnkurs
kjem110,Kjemi og energi
kjem120,Grunnstoffenes kjemi
kjem124,Kjemisk syntese og analyse
kjem130,Organisk kjemi
kjem202,Miljøkjemi
kjem203,Petroleumskjemi og biodrivstoff
kjem210,Kjemisk termodynamikk
kjem214,Overflate- og kolloidkjemi
kjem215,Molekylær fysikalsk kjemi
kjem220,Molekylmodellering
kjem221,Grunnleggjande kvantemekanikk
kjem225,Planlegging av eksperiment og analyse av fleirvariable data
kjem231,Vidaregåande organisk kjemi
kjem232,Eksperimentell organisk syntese
kjem235,Strukturoppklaring av organiske molekyl
kjem238,Naturstoffkjemi
kjem243,Metallorganisk katalyse
kjem244,Materialkjemi og energimateriale
kjem250,Analytisk kjemi
kjem260,Radiokjemi og radioaktivitet
kjem291,Vitskapeleg formidling
kjem299,Bachelorprosjekt i kjemi 
kjem323,Utvalde emne i mangeelektronteori
kjem324,Utvalde emne i teoretisk kjemi
kjem326,Utvalde emne i kjemometri
